PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;18;8;28079018_8_8;2020;10;06;00012;V;00010;V;00010;V;00021;V;00018;V;00024;V;00036;V;00041;V;00050;V;00060;V;00078;V;00058;V;00055;V;00043;V;00012;V;00009;V;00014;V;00019;V;00019;V;00025;V;00000;N;00000;N;00000;N;00000;N
28;079;18;10;28079018_10_47;2020;10;06;00012;V;00003;V;00003;V;00002;V;00010;V;00011;V;00010;V;00017;V;00013;V;00019;V;00045;V;00034;V;00034;V;00037;V;00023;V;00005;V;00003;V;00003;V;00032;V;00012;V;00000;N;00000;N;00000;N;00000;N
28;079;18;12;28079018_12_8;2020;10;06;00014;V;00012;V;00012;V;00022;V;00019;V;00026;V;00042;V;00056;V;00106;V;00179;V;00232;V;00129;V;00116;V;00078;V;00014;V;00011;V;00016;V;00022;V;00022;V;00026;V;00000;N;00000;N;00000;N;00000;N
28;079;18;14;28079018_14_6;2020;10;06;55.66;V;57.25;V;51.37;V;35.97;V;33.28;V;22.47;V;11.47;V;10.43;V;07.07;V;10.02;V;11.75;V;20.54;V;25.13;V;34.00;V;58.01;V;58.47;V;55.23;V;54.22;V;56.27;V;48.63;V;00000;N;00000;N;00000;N;00000;N
28;079;18;20;28079018_20_59;2020;10;06;000.9;V;000.8;V;000.7;V;000.9;V;002.9;V;001.6;V;002.1;V;002.8;V;003.0;V;005.9;V;004.5;V;003.7;V;002.6;V;003.5;V;003.2;V;002.1;V;003.7;V;002.6;V;001.7;V;001.7;V;00000;N;00000;N;00000;N;00000;N
28;079;18;30;28079018_30_59;2020;10;06;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.2;V;000.3;V;000.5;V;001.3;V;000.7;V;000.5;V;000.3;V;000.3;V;000.2;V;000.1;V;000.2;V;000.1;V;000.1;V;000.1;V;00000;N;00000;N;00000;N;00000;N
28;079;18;35;28079018_35_59;2020;10;06;000.2;V;000.1;V;000.1;V;000.1;V;000.2;V;000.4;V;000.4;V;000.7;V;000.6;V;000.9;V;000.7;V;000.7;V;000.6;V;000.8;V;000.6;V;000.5;V;000.7;V;000.6;V;000.6;V;000.6;V;00000;N;00000;N;00000;N;00000;N
28;079;24;1;28079024_1_38;2020;10;06;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00006;V;00007;V;00007;V;00006;V;00006;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00000;N;00000;N;00000;N;00000;N
28;079;24;6;28079024_6_48;2020;10;06;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.3;V;000.5;V;000.4;V;000.6;V;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;00000;N;00000;N;00000;N;00000;N
28;079;24;7;28079024_7_8;2020;10;06;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00004;V;00037;V;00099;V;00071;V;00037;V;00016;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00000;N;00000;N;00000;N;00000;N
28;079;24;8;28079024_8_8;2020;10;06;00006;V;00005;V;00004;V;00006;V;00010;V;00011;V;00012;V;00011;V;00019;V;00039;V;00067;V;00064;V;00049;V;00028;V;00003;V;00002;V;00002;V;00002;V;00002;V;00006;V;00000;N;00000;N;00000;N;00000;N
28;079;24;9;28079024_9_47;2020;10;06;00006;V;00005;V;00002;V;00001;V;00003;V;00007;V;00005;V;00003;V;00006;V;00004;V;00010;V;00017;V;00019;V;00011;V;00004;V;00001;V;00001;V;00003;V;00004;V;00003;V;00000;N;00000;N;00000;N;00000;N
28;079;24;10;28079024_10_47;2020;10;06;00010;V;00008;V;00006;V;00003;V;00006;V;00010;V;00009;V;00006;V;00008;V;00009;V;00024;V;00038;V;00038;V;00030;V;00010;V;00001;V;00001;V;00006;V;00006;V;00006;V;00000;N;00000;N;00000;N;00000;N
28;079;24;12;28079024_12_8;2020;10;06;00008;V;00007;V;00005;V;00008;V;00012;V;00012;V;00013;V;00012;V;00025;V;00096;V;00218;V;00173;V;00106;V;00053;V;00004;V;00003;V;00004;V;00004;V;00004;V;00007;V;00000;N;00000;N;00000;N;00000;N
28;079;24;14;28079024_14_6;2020;10;06;56.83;V;53.46;V;53.27;V;45.45;V;35.37;V;32.55;V;24.93;V;20.90;V;15.82;V;09.88;V;10.07;V;15.48;V;23.36;V;37.32;V;59.73;V;60.71;V;63.12;V;64.37;V;67.17;V;61.37;V;00000;N;00000;N;00000;N;00000;N
28;079;24;20;28079024_20_59;2020;10;06;000.4;V;000.9;V;000.5;V;000.6;V;000.4;V;001.6;V;003.4;V;002.4;V;001.3;V;001.0;V;004.7;V;006.5;V;006.6;V;005.0;V;001.4;V;000.2;V;000.2;V;000.1;V;000.1;V;000.1;V;00000;N;00000;N;00000;N;00000;N
28;079;24;30;28079024_30_59;2020;10;06;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.7;V;000.9;V;000.8;V;000.6;V;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;00000;N;00000;N;00000;N;00000;N
28;079;24;35;28079024_35_59;2020;10;06;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.4;V;001.0;V;000.6;V;000.3;V;000.1;V;000.5;V;000.7;V;000.7;V;000.7;V;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;00000;N;00000;N;00000;N;00000;N
28;079;24;42;28079024_42_2;2020;10;06;01.13;V;01.13;V;01.12;V;01.15;V;01.18;V;01.18;V;01.22;V;01.20;V;01.21;V;01.35;V;01.72;V;01.63;V;01.51;V;01.31;V;01.12;V;01.11;V;01.11;V;01.11;V;01.11;V;01.11;V;00000;N;00000;N;00000;N;00000;N
28;079;24;43;28079024_43_2;2020;10;06;00.98;V;00.98;V;00.98;V;01.00;V;01.02;V;01.02;V;01.05;V;01.04;V;01.05;V;01.17;V;01.47;V;01.41;V;01.31;V;01.15;V;01.00;V;00.99;V;01.00;V;00.99;V;00.99;V;00.99;V;00000;N;00000;N;00000;N;00000;N
28;079;24;44;28079024_44_2;2020;10;06;00.15;V;00.15;V;00.14;V;00.15;V;00.16;V;00.16;V;00.17;V;00.16;V;00.16;V;00.18;V;00.25;V;00.22;V;00.20;V;00.16;V;00.12;V;00.12;V;00.11;V;00.12;V;00.12;V;00.12;V;00000;N;00000;N;00000;N;00000;N
28;079;27;7;28079027_7_8;2020;10;06;00017;V;00001;V;00019;V;00001;V;00001;V;00001;V;00015;V;00043;V;00069;V;00041;V;00023;V;00019;V;00036;V;00031;V;00015;V;00006;V;00001;V;00002;V;00003;V;00003;V;00000;N;00000;N;00000;N;00000;N
28;079;27;8;28079027_8_8;2020;10;06;00060;V;00046;V;00051;V;00023;V;00036;V;00026;V;00038;V;00056;V;00061;V;00044;V;00033;V;00030;V;00049;V;00052;V;00035;V;00022;V;00012;V;00014;V;00025;V;00039;V;00000;N;00000;N;00000;N;00000;N
28;079;27;12;28079027_12_8;2020;10;06;00086;V;00048;V;00081;V;00025;V;00037;V;00028;V;00061;V;00122;V;00166;V;00107;V;00068;V;00058;V;00104;V;00099;V;00058;V;00032;V;00014;V;00018;V;00029;V;00044;V;00000;N;00000;N;00000;N;00000;N
